No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,3,10uF,"C1,C3,C31",C1206,10uF,CL31B106KBHNNNE,SAMSUNG(三星),C89632,LCSC
2,21,100nF,"C2,C4,C5,C13,C14,C15,C16,C17,C19,C20,C22,C23,C25,C27,C28,C32,C33,C38,C39,C40,C43",C0805,100nF,CL21B104KBCNNNC,SAMSUNG(三星),C1711,LCSC
3,7,22uF,"C6,C7,C11,C21,C24,C34,C35",C0805,22uF,CL21A226MOQNNNE,SAMSUNG(三星),C98190,LCSC
4,4,10nF,"C8,C9,C36,C37",C0805,10nF,CL21B103KBANNNC,SAMSUNG(三星),C1710,LCSC
5,2,1uF,"C26,C44",C0805,1uF,CL21A105KAFNNNE,SAMSUNG(三星),C95840,LCSC
6,2,30pF,"C29,C30",C0805,30pF,CL21C300JBANNNC,SAMSUNG(三星),C1809,LCSC
7,2,8pF,"C41,C42",C0805,8pF,CL21C080DBANNNC,SAMSUNG(三星),C170111,LCSC
8,2,100pF,"C45,C46",C0805,100pF,CL21C101JBANNNC,SAMSUNG(三星),C1790,LCSC
9,1,KF2EDGR-5.08-2P,CN1,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,,KF2EDGR-5.08-2P,KEFA(科发),C441204,LCSC
10,8,KF2EDGR-3.5-3P,"CN2,CN3,CN4,CN5,CN8,CN10,CN11,CN13",CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,,KF2EDGR-3.5-3P,KEFA(科发),C441172,LCSC
11,2,B4B-PH-K-S(LF)(SN),"CN6,CN7",CONN-TH_B4B-PH-K-S,,B4B-PH-K-S(LF)(SN),JST,C131334,LCSC
12,1,B5P-VH(LF)(SN),CN9,CONN-TH_B5P-VH-LF-SN,,B5P-VH(LF)(SN),JST,C160318,LCSC
13,2,KF2EDGR-3.5-2P,"CN12,CN14",CONN-TH_P3.50_KF2EDGR-3.5-2P,,KF2EDGR-3.5-2P,KEFA(科发),C441171,LCSC
14,1,SMBJ18A,D1,SMB_L4.6-W3.6-LS5.3-RD,,SMBJ18A,OTW(联芯),C20883324,LCSC
15,1,BZT52C10,D2,SOD-123_L2.7-W1.6-LS3.7-RD,,BZT52C10,DOWO(东沃),C7544544,LCSC
16,2,SS34,"D3,D8",SMA_L4.3-W2.6-LS5.1-RD,,SS34,Hangyu(航昱微),C52023881,LCSC
17,3,SM712-02HTG,"D4,D5,D6",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,SM712-02HTG,Littelfuse(美国力特),C172881,LCSC
18,1,PESD1CAN,D7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,PESD1CAN,DOWO(东沃),C284094,LCSC
19,1,PESD3V3L1BA,D9,SOD-323_L1.7-W1.3-LS2.5-BI,,PESD3V3L1BA,R+O(宏嘉诚),C54334012,LCSC
20,1,BAT54C,D11,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,BAT54C,YONGYUTAI(永裕泰),C51042522,LCSC
21,1,SMD1812P200TF/24,F1,F1812,,SMD1812P200TF/24,RUILON(瑞隆源),C434887,LCSC
22,1,SMD0805P010TF,F2,F0805,,SMD0805P010TF,RUILON(瑞隆源),C20975,LCSC
23,1,PZ254V-11-04P,H1,HDR-TH_4P-P2.54-V-M,,PZ254V-11-04P,XFCN(兴飞),C2691448,LCSC
24,4,PZ254V-11-02P,"JP1,JP2,JP3,JP4",HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC
25,2,15uH,"L1,L2",IND-SMD_L7.1-W6.5,15uH,SPM6530T-150M-HZ,TDK,C307809,LCSC
26,6,KT-0805G,"LED1,LED2,LED3,LED4,LED5,LED6",LED0805-R-RD,,KT-0805G,KENTO,C2297,LCSC
27,2,AO3401A,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,AO3401A,baocheng(宝乘),C48678024,LCSC
28,1,2N7002,Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,2N7002,SEP(威旺),C50176485,LCSC
29,4,100kΩ,"R1,R19,R42,R44",R0805,100kΩ,0805W8F1003T5E,UNI-ROYAL(厚声),C149504,LCSC
30,1,52.3kΩ,R2,R0805,52.3kΩ,0805W8F5232T5E,UNI-ROYAL(厚声),C17740,LCSC
31,11,10kΩ,"R3,R4,R17,R18,R32,R33,R37,R38,R43,R45,R55",R0805,10kΩ,0805W8F1002T5E,UNI-ROYAL(厚声),C38522,LCSC
32,2,330kΩ,"R5,R39",R0805,330kΩ,0805W8F3303T5E,UNI-ROYAL(厚声),C17629,LCSC
33,2,51.1kΩ,"R6,R40",R0805,51.1kΩ,0805W8F5112T5E,UNI-ROYAL(厚声),C17731,LCSC
34,4,120Ω,"R7,R9,R11,R13",R0805,120Ω,0805W8F1200T5E,UNI-ROYAL(厚声),C17437,LCSC
35,8,1kΩ,"R8,R10,R12,R14,R15,R34,R35,R47",R0805,1kΩ,0805W8F1001T5E,UNI-ROYAL(厚声),C17513,LCSC
36,3,4.7kΩ,"R16,R30,R31",R0805,4.7kΩ,0805W8F4701T5E,UNI-ROYAL(厚声),C17673,LCSC
37,1,31.6kΩ,R36,R0805,31.6kΩ,0805W8F3162T5E,UNI-ROYAL(厚声),C17623,LCSC
38,1,100Ω,R41,R0805,100Ω,0805W8F1000T5E,UNI-ROYAL(厚声),C17408,LCSC
39,1,150Ω,R46,R0805,150Ω,0805W8F1500T5E,UNI-ROYAL(厚声),C17471,LCSC
40,1,330Ω,R48,R0805,330Ω,0805W8F3300T5E,UNI-ROYAL(厚声),C17630,LCSC
41,6,560Ω,"R49,R50,R51,R52,R53,R54",R0805,560Ω,0805W8F5600T5E,UNI-ROYAL(厚声),C28636,LCSC
42,2,TPS54331DR,"U1,U2",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,TPS54331DR,TI(德州仪器),C9865,LCSC
43,3,MAX13487EESA+T,"U3,U4,U5",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,MAX13487EESA+T,ADI(亚德诺)/MAXIM(美信),C18347,LCSC
44,1,TJA1051T/3/1J,U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,TJA1051T/3/1J,NXP(恩智浦),C38695,LCSC
45,1,STM32G0B1RET6,U7,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,STM32G0B1RET6,ST(意法半导体),C2829307,LCSC
46,1,2.4GHz,U8,WIRELM-SMD_ESP32-C6-WROOM-1,2.4GHz,ESP32-C6-WROOM-1-N8,ESPRESSIF(乐鑫),C5366877,LCSC
47,1,FM24W256-GTR,U9,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,FM24W256-GTR,Infineon/CYPRESS(赛普拉斯),C66020,LCSC
48,1,W25Q128JVSIQ,U10,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q128JVSIQ,Winbond(华邦),C97521,LCSC
49,1,12MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,12MHz,X322512MSB4SI,YXC(扬兴晶振),C9002,LCSC
50,1,32.768kHz,X2,CRYSTAL-SMD_L3.2-W1.5-1,32.768kHz,SC32S-7PF20PPM,Seiko(精工),C5452100,LCSC
,,,,,,,,,
