Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C1,CL31B106KBHNNNE,C1206,-36.5mm,4.75mm,-36.5mm,4.75mm,-36.5mm,6.343mm,2,B,270,Yes,10uF,10uF
C2,CL21B104KBCNNNC,C0805,-37.5mm,4.5mm,-37.5mm,4.5mm,-37.5mm,5.5mm,2,T,270,Yes,100nF,100nF
C3,CL31B106KBHNNNE,C1206,35.481mm,19.157mm,35.481mm,19.157mm,37.074mm,19.157mm,2,T,180,Yes,10uF,10uF
C4,CL21B104KBCNNNC,C0805,35.481mm,16.755mm,35.481mm,16.755mm,36.481mm,16.755mm,2,T,180,Yes,100nF,100nF
C5,CL21B104KBCNNNC,C0805,23.699mm,26.466mm,23.699mm,26.466mm,23.699mm,25.466mm,2,T,90,Yes,100nF,100nF
C6,CL21A226MOQNNNE,C0805,29.513mm,19.346mm,29.513mm,19.346mm,28.513mm,19.346mm,2,T,0,Yes,22uF,22uF
C7,CL21A226MOQNNNE,C0805,29.513mm,17.138mm,29.513mm,17.138mm,28.513mm,17.138mm,2,T,0,Yes,22uF,22uF
C8,CL21B103KBANNNC,C0805,43.429mm,24.666mm,43.429mm,24.666mm,42.429mm,24.666mm,2,T,0,Yes,10nF,10nF
C11,CL21A226MOQNNNE,C0805,-30.586mm,35.172mm,-30.586mm,35.172mm,-30.586mm,34.172mm,2,T,90,Yes,22uF,22uF
C13,CL21B104KBCNNNC,C0805,-19.093mm,-38.259mm,-19.093mm,-38.259mm,-19.093mm,-39.259mm,2,T,90,Yes,100nF,100nF
C14,CL21B104KBCNNNC,C0805,-6.1mm,-38.259mm,-6.1mm,-38.259mm,-6.1mm,-39.259mm,2,T,90,Yes,100nF,100nF
C15,CL21B104KBCNNNC,C0805,6.878mm,-38.259mm,6.878mm,-38.259mm,6.878mm,-39.259mm,2,T,90,Yes,100nF,100nF
C16,CL21B104KBCNNNC,C0805,18.971mm,-33.507mm,18.971mm,-33.507mm,17.971mm,-33.507mm,2,T,0,Yes,100nF,100nF
