No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,100nF,"C1,C4",C0603,100nF,CL10B104KB8NNNC,SAMSUNG(三星),C1591,LCSC
2,2,10uF,"C2,C3",C1206,10uF,CL31B106KAHNNNE,SAMSUNG(三星),C14860,LCSC
3,1,B5P-VH(LF)(SN),CN9,CONN-TH_B5P-VH-LF-SN,,B5P-VH(LF)(SN),JST,C160318,LCSC
4,1,KF2EDGR-5.08-2P,CN10,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,,KF2EDGR-5.08-2P,KEFA(科发),C441204,LCSC
5,3,SMAJ15A,"D1,D2,D3",SMA_L4.3-W2.6-LS5.1-RD,,SMAJ15A,Brightking(君耀电子),C20623846,LCSC
6,2,1N4148W,"D4,D5",SOD-123_L2.7-W1.6-LS3.7-RD-1,,1N4148W,YONGYUTAI(永裕泰),C2892570,LCSC
7,1,SMBJ30CA,D6,SMB_L4.5-W3.6-LS5.3-BI,,SMBJ30CA,BOURNS,C2831484,LCSC
8,1,BLX-A-B,F1,FUSE-TH_BLX-A-B,,BLX-A-B,XFCN(兴飞),C41371862,LCSC
9,2,G5V-2-DC12,"K1,K2",RELAY-TH_G5V-2-12V,,G5V-2-DC12,OMRON(欧姆龙),C28089,LCSC
10,2,KT-0805G,"LED1,LED2",LED0805-R-RD,,KT-0805G,KENTO,C2297,LCSC
11,2,AO3400A,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,AO3400A,ChipNobo(无边界),C42419946,LCSC
12,2,100kΩ,"R1,R2",R0603,100kΩ,0603WAF1003T5E,UNI-ROYAL(厚声),C25803,LCSC
13,1,1MΩ,R3,R0603,1MΩ,0603WAF1004T5E,UNI-ROYAL(厚声),C22935,LCSC
14,2,10kΩ,"R5,R6",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
15,1,HT7533-1,U1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,,HT7533-1,CBI(创基),C21714136,LCSC
16,1,"74HC123D,653",U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,,"74HC123D,653",Nexperia(安世),C5597,LCSC
,,,,,,,,,
