Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C1,CL10B104KB8NNNC,C0603,-4.119mm,-9.447mm,-4.119mm,-9.447mm,-4.819mm,-9.447mm,2,T,0,Yes,100nF,100nF
C2,CL31B106KAHNNNE,C1206,-5.02mm,-1.961mm,-5.02mm,-1.961mm,-6.613mm,-1.961mm,2,T,0,Yes,10uF,10uF
C3,CL31B106KAHNNNE,C1206,-5.057mm,5.029mm,-5.057mm,5.029mm,-6.65mm,5.029mm,2,T,0,Yes,10uF,10uF
C4,CL10B104KB8NNNC,C0603,-10.058mm,11.491mm,-10.058mm,11.491mm,-9.358mm,11.491mm,2,T,180,Yes,100nF,100nF
CN9,B5P-VH(LF)(SN),CONN-TH_B5P-VH-LF-SN,-34.55mm,0mm,-34.55mm,0mm,-34.55mm,-7.92mm,5,T,90,No,B5P-VH(LF)(SN),B5P-VH(LF)(SN)
CN10,KF2EDGR-5.08-2P,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,29.845mm,12mm,29.845mm,12mm,29.845mm,9.46mm,2,T,90,No,KF2EDGR-5.08-2P,KF2EDGR-5.08-2P
D1,SMAJ15A_C20623846,SMA_L4.3-W2.6-LS5.1-RD,-31.85mm,-11.85mm,-31.85mm,-11.85mm,-34.05mm,-11.85mm,2,T,0,Yes,SMAJ15A,SMAJ15A
D2,SMAJ15A_C20623846,SMA_L4.3-W2.6-LS5.1-RD,-27.543mm,-5.543mm,-27.543mm,-5.543mm,-27.543mm,-3.343mm,2,T,270,Yes,SMAJ15A,SMAJ15A
D3,SMAJ15A_C20623846,SMA_L4.3-W2.6-LS5.1-RD,-37.497mm,13.801mm,-37.497mm,13.801mm,-37.497mm,11.601mm,2,T,90,Yes,SMAJ15A,SMAJ15A
D4,1N4148W_C2892570,SOD-123_L2.7-W1.6-LS3.7-RD-1,-5mm,15mm,-5mm,15mm,-6.7mm,15mm,2,T,0,Yes,1N4148W,1N4148W
D5,1N4148W_C2892570,SOD-123_L2.7-W1.6-LS3.7-RD-1,5.5mm,-13.5mm,5.5mm,-13.5mm,3.8mm,-13.5mm,2,T,0,Yes,1N4148W,1N4148W
D6,SMBJ30CA_C2831484,SMB_L4.5-W3.6-LS5.3-BI,24mm,12mm,24mm,12mm,24mm,9.66mm,2,T,90,Yes,SMBJ30CA,SMBJ30CA
F1,BLX-A-B,FUSE-TH_BLX-A-B,22.75mm,1.318mm,22.75mm,1.318mm,33.9mm,1.318mm,2,T,180,No,BLX-A-B,BLX-A-B
K1,G5V-2-DC12,RELAY-TH_G5V-2-12V,3mm,6mm,3mm,6mm,6.81mm,14.89mm,8,T,0,No,G5V-2-DC12,G5V-2-DC12
K2,G5V-2-DC12,RELAY-TH_G5V-2-12V,18.5mm,-9.5mm,18.5mm,-9.5mm,9.61mm,-5.69mm,8,T,90,No,G5V-2-DC12,G5V-2-DC12
LED1,KT-0805G,LED0805-R-RD,-6.115mm,23.957mm,-6.115mm,23.957mm,-7.165mm,23.957mm,2,T,180,Yes,KT-0805G,KT-0805G
LED2,KT-0805G,LED0805-R-RD,5.884mm,23.957mm,5.884mm,23.957mm,4.834mm,23.957mm,2,T,180,Yes,KT-0805G,KT-0805G
Q1,AO3400A_C42419946,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-0.5mm,18mm,-0.5mm,18mm,-1.5mm,18.95mm,3,T,180,Yes,AO3400A,AO3400A
Q2,AO3400A_C42419946,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,6mm,-10.5mm,6mm,-10.5mm,7mm,-11.45mm,3,T,0,Yes,AO3400A,AO3400A
R1,0603WAF1003T5E,R0603,-28.5mm,0mm,-28.5mm,0mm,-28.5mm,-0.753mm,2,T,90,Yes,100kΩ,100kΩ
R2,0603WAF1003T5E,R0603,-34mm,11.033mm,-34mm,11.033mm,-34.753mm,11.033mm,2,T,0,Yes,100kΩ,100kΩ
R3,0603WAF1004T5E,R0603,-5.057mm,7.183mm,-5.057mm,7.183mm,-5.81mm,7.183mm,2,T,0,Yes,1MΩ,1MΩ
R5,0603WAF1002T5E,R0603,-19.5mm,0mm,-19.5mm,0mm,-20.253mm,0mm,2,T,0,Yes,10kΩ,10kΩ
R6,0603WAF1002T5E,R0603,-23.5mm,0mm,-23.5mm,0mm,-24.253mm,0mm,2,T,0,Yes,10kΩ,10kΩ
U1,HT7533-1_C21714136,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,-4.814mm,-5.827mm,-4.814mm,-5.827mm,-3.314mm,-4.471mm,3,T,90,Yes,HT7533-1,HT7533-1
U2,"74HC123D,653",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,-12.558mm,4.825mm,-12.558mm,4.825mm,-15.294mm,9.27mm,16,T,270,Yes,"74HC123D,653","74HC123D,653"
